group,NA,Female,Male,,,,
1984,0,1,4,,,,
1985,0,2,3,,,,
1986,0,1,5,,,,
1987,0,1,4,,,,
1988,0,1,5,,,,
1989,0,4,6,,,,
1990,0,3,4,,,,
1991,1,3,5,,,,
1992,0,4,5,,,,
1993,0,3,5,,,,
1994,0,3,5,,,,
1995,0,4,4,,,,
1996,0,3,6,,,,
1997,0,3,6,,,,
1998,0,4,7,,,,
1999,0,5,7,,,,
2000,0,4,6,,,,
2001,0,5,5,,,,
2002,0,2,3,,,,
2003,0,3,6,,,,
2004,0,2,6,,,,
