name,value
Cliff Edom,7
Robert Boyd,4
Rich Clarkson,4
Kurt S. Safranski,3
Bill Snead,3
Howard Chapnick,3
Roy Fisher,3
Larry Nighswander,3
Joseph Costa,3
Robert Ghio,3
Jan Colbert,3
Howard Kasch,3
Mike Davis,3
Walter Yust,3
Gary Settle,3
MaryAnne Golon,3
Angus McDougall,3
Arthur Rothstein,3
