group,NA,Female,Male
1984,12,34,324
1985,8,24,175
1986,3,8,60
1987,0,45,180
1988,5,38,121
1989,2,19,102
1990,0,20,106
1991,0,22,135
1992,1,18,112
1993,0,22,89
1994,7,26,113
1995,3,16,92
1996,2,22,118
1997,13,42,152
1998,4,38,95
1999,15,26,102
2000,32,25,93
2001,3,42,133
2002,0,20,88
2003,5,25,86
2004,3,17,88
