year,female,male
1984,0.00,0.86
1985,0.29,0.71
1986,0.45,0.45
1987,0.31,0.69
1988,0.08,0.85
1989,0.14,0.86
1990,0.15,0.85
1991,0.25,0.67
1992,0.20,0.80
1993,0.09,0.91
1994,0.18,0.82
1995,0.27,0.68
1996,0.21,0.76
1997,0.34,0.62
1998,0.14,0.86
1999,0.48,0.37
2000,0.15,0.77
2001,0.27,0.73
2002,0.30,0.60
2003,0.15,0.77
2004,0.18,0.73
